yop_kodu,bir_kontenjana_talip_olan_aday_sayisi_2022,bir_kontenjana_talip_olan_aday_sayisi_2023,bir_kontenjana_talip_olan_aday_sayisi_2024,ilk_uc_sirada_tercih_eden_sayisi_2022,ilk_uc_sirada_tercih_eden_sayisi_2023,ilk_uc_sirada_tercih_eden_sayisi_2024,ilk_uc_sirada_tercih_eden_orani_2022,ilk_uc_sirada_tercih_eden_orani_2023,ilk_uc_sirada_tercih_eden_orani_2024,ilk_uc_tercih_olarak_yerlesen_sayisi_2022,ilk_uc_tercih_olarak_yerlesen_sayisi_2023,ilk_uc_tercih_olarak_yerlesen_sayisi_2024,ilk_uc_tercih_olarak_yerlesen_orani_2022,ilk_uc_tercih_olarak_yerlesen_orani_2023,ilk_uc_tercih_olarak_yerlesen_orani_2024
106510014,"6,0","5,9","8,6",124.0,122.0,110.0,"28,9","28,6","24,7",47.0,36.0,22.0,"65,3","50,0","42,3"
106510023,"10,3","11,8","12,8",190.0,218.0,241.0,"25,7","25,6","24,4",23.0,19.0,22.0,"31,9","26,4","28,6"
106510032,"2,6","3,1","17,0",26.0,50.0,93.0,"14,1","22,2","17,6",18.0,32.0,10.0,"37,5","44,4","32,3"
106510041,"9,7","12,0","21,7",115.0,161.0,198.0,"19,2","21,6","17,6",17.0,20.0,21.0,"27,4","32,3","40,4"
106510059,"12,2","9,4","21,7",337.0,288.0,337.0,"44,5","48,1","48,6",45.0,40.0,21.0,"72,6","64,5","65,6"
106510068,"8,6","11,2","25,9",174.0,226.0,321.0,"23,0","22,9","23,8",21.0,24.0,16.0,"23,9","27,3","30,8"
106510077,"19,9","14,3","11,9",453.0,389.0,328.0,"29,5","35,4","33,6",21.0,25.0,26.0,"27,3","32,5","31,7"
106510086,"9,7","7,8","9,5",218.0,193.0,129.0,"36,4","38,9","32,2",33.0,37.0,19.0,"53,2","59,7","45,2"
106510087,"4,2","4,3","4,8",68.0,85.0,79.0,"23,9","29,5","24,7",33.0,38.0,35.0,"49,3","56,7","52,2"
106510088,"11,7","9,9","13,0",277.0,276.0,277.0,"45,4","51,5","50,5",32.0,32.0,31.0,"61,5","61,5","73,8"
106510089,"11,4","8,8","16,9",288.0,254.0,273.0,"40,9","45,2","43,8",42.0,42.0,22.0,"67,7","65,6","59,5"
106510090,"20,6","14,6","15,3",507.0,387.0,274.0,"39,7","41,3","42,5",26.0,16.0,20.0,"41,9","25,0","47,6"
106510105,,,"13,2",,,60.0,,,"21,6",,,11.0,,,"52,4"
200110026,"27,8","18,8","23,8",35.0,35.0,42.0,"31,5","31,0","29,4",4.0,3.0,3.0,"100,0","60,0","60,0"
200110044,"40,4","19,1","41,0",57.0,53.0,105.0,"28,2","39,6","36,6",1.0,4.0,6.0,"20,0","66,7","85,7"
